,Country,1990,2000,2005,2015,2020,2022,2023,2023 %
,unit,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,% World Tot
159,"Saint Helena, Ascension and Tristan da Cunha",0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.0
160,Saint Kitts and Nevis,0.02,0.05,0.06,0.1,0.1,0.11,0.12,0.0
161,Saint Lucia,0.07,0.1,0.12,0.18,0.25,0.28,0.3,0.0
162,Saint Pierre and Miquelon,0.09,0.02,0.02,0.04,0.04,0.04,0.04,0.0
163,Saint Vincent and the Grenadines,0.03,0.04,0.07,0.09,0.08,0.09,0.1,0.0
164,Samoa,0.12,0.19,0.22,0.33,0.41,0.45,0.47,0.0
165,São Tomé and Príncipe,0.04,0.06,0.09,0.14,0.18,0.2,0.21,0.0
166,Saudi Arabia,173.9,265.24,346.38,611.44,570.89,605.26,622.91,1.6
167,Senegal,2.36,3.99,5.75,9.22,10.81,12.36,12.02,0.03
168,Serbia and Montenegro,66.15,50.64,61.58,58.22,58.94,57.79,56.12,0.14
169,Seychelles,0.27,0.76,0.97,0.98,1.13,1.2,1.24,0.0
170,Sierra Leone,0.63,0.43,0.57,1.01,1.04,1.1,1.07,0.0
171,Singapore,31.65,45.52,41.73,55.19,53.88,55.76,57.07,0.15
172,Slovakia,60.63,41.68,42.22,34.51,32.62,35.55,34.86,0.09
173,Slovenia,14.99,15.04,17.64,14.3,13.42,13.13,12.08,0.03
174,Solomon Islands,0.16,0.24,0.3,0.33,0.37,0.4,0.42,0.0
175,Somalia,0.63,0.63,0.76,0.82,0.91,0.87,0.87,0.0
176,South Africa,314.23,347.3,436.28,460.05,418.77,409.41,397.37,1.02
177,South Korea,272.12,474.16,515.4,642.69,614.2,587.82,573.54,1.47
178,Spain and Andorra,231.82,313.24,370.43,275.08,218.74,235.47,217.26,0.56
179,Sri Lanka,4.24,11.46,14.43,19.71,22.16,19.98,20.52,0.05
180,Sudan and South Sudan,5.54,6.0,10.87,21.56,21.35,21.4,21.27,0.05
181,Suriname,1.1,1.48,1.69,2.73,2.6,2.54,2.63,0.01
182,Sweden,57.14,57.98,54.53,42.9,37.79,36.21,35.39,0.09
183,Switzerland and Liechtenstein,44.81,44.8,47.06,40.23,35.89,34.41,34.22,0.09
184,Syria,33.0,45.9,58.81,25.61,25.57,25.29,25.59,0.07
185,Taiwan,130.65,238.02,280.59,296.56,289.51,287.61,279.85,0.72
186,Tajikistan,12.32,2.78,3.19,5.09,9.39,9.18,9.31,0.02
187,Tanzania,2.08,3.11,6.17,13.2,16.8,18.98,19.37,0.05
188,Thailand,95.36,174.82,229.18,279.74,274.44,275.87,274.16,0.7
189,The Gambia,0.12,0.27,0.33,0.5,0.59,0.62,0.61,0.0
190,Timor-Leste,0.0,0.23,0.35,0.7,0.65,0.71,0.7,0.0
191,Togo,0.75,1.25,1.31,1.54,2.22,2.53,2.49,0.01
192,Tonga,0.09,0.1,0.12,0.13,0.19,0.21,0.22,0.0
193,Trinidad and Tobago,12.67,19.13,35.02,36.7,29.77,27.92,27.22,0.07
194,Tunisia,14.77,21.13,23.45,30.72,28.71,30.46,31.5,0.08
195,Turkmenistan,45.69,39.34,52.9,65.53,66.7,66.62,65.99,0.17
196,Turks and Caicos Islands,0.01,0.02,0.03,0.08,0.09,0.1,0.1,0.0
197,Türkiye,155.16,227.05,246.07,367.8,422.79,433.75,438.32,1.12
198,Uganda,0.83,1.41,2.22,5.37,6.79,7.22,7.22,0.02
199,Ukraine,785.54,360.02,356.07,226.04,198.66,138.34,136.2,0.35
200,United Arab Emirates,56.89,88.46,122.46,206.62,195.49,206.9,205.99,0.53
201,United Kingdom,582.35,551.68,559.33,415.86,319.01,327.46,302.1,0.77
202,United States,4983.81,5928.97,5888.31,5133.22,4466.04,4786.63,4682.04,12.0
203,Uruguay,3.94,5.57,5.56,6.88,6.9,8.71,8.82,0.02
204,Uzbekistan,127.85,130.67,124.63,107.25,123.04,138.91,137.9,0.35
205,Vanuatu,0.1,0.08,0.09,0.16,0.25,0.28,0.29,0.0
206,Venezuela,102.58,137.75,155.94,175.93,72.33,77.85,84.6,0.22
207,Viet Nam,20.57,56.52,100.51,200.71,352.06,324.9,372.95,0.96
208,Western Sahara,0.15,0.26,0.26,0.24,0.2,0.27,0.26,0.0
209,Yemen,7.11,15.74,22.02,14.25,11.5,11.19,10.9,0.03
210,Zambia,3.03,1.95,2.47,5.32,7.48,7.81,8.06,0.02
211,Zimbabwe,17.41,14.6,11.44,12.69,9.07,10.96,11.74,0.03
